id,pseudo,name,team
1,stanislaw,Peter Jarguz,1
2,tarik,Tarik Celik,1
3,Brehze,Vincent Cayonte,1
4,Ethan,Ethan Arnold,1
5,CeRq,Tsvetelin Dimitrov,1
6,Xyp9x,andreas Hojsleth,2
7,dupreeh,PeterRasmussen,2
8,gla1ve,Lukas Rossander,2
9,device,Nicolai Reedtz,2
10,Magisk,Emil Reif,2
11,flusha,Robin Ronnquist,3
12,JW,Jesper Wecksell,3
13,KRIMZ,Freddy Johansson,3
14,Golden,Maikil Selim,3
15,Brollan,Ludvig Brolin,3
16,nitr0,Nick Cannella,4
17,NAF,Keith Markovic,4
18,EliGE,Jonathn Jablonowski,4
19,Stewie2K,Jake yip,4
20,Twistzz,Russel Van Dulken,4
21,shox,Richard Papillon,5
22,RpK,Cedric Guipouy,5
23,aPEX,Dan Madesclaire,5
24,ALEX,Alex McMeekin,5
25,ZywOo,Mathieu Herbaut,5
